"Input String","True Value"
"19 hours ago","???"
"2014-06-17 03:36:00","2014.06.18"
"2014-06-17T15:44:03+00:00","2014.06.17"
"2014-06-17T17:57:00+0400","2014.06.17"
"2014-06-17","2014.06.17"
"2014-06-17T23:20:00+0400","2014.06.17"
"2014-06-16T23:25:00.000Z","2014.06.16"
"2014-06-16T17:49:24+00:00","2014.06.16"
"2014-06-16T16:31:00.000Z","2014.06.16"
"2014-06-16T14:00:51+00:00","2014.06.16"
"2014-06-16T12:32:00.000Z","2014.06.16"
"2014-06-16 05:39:00","2014.06.16"
"2014-06-16 11:47:00","2014.06.16"
"2014-06-15T06:56:54.8630000","2014.06.15"
"2014-06-15T16:23:02+00:00","2014.06.15"
"2014-06-15T00:00:00.0000000","2014.06.15"
"2014-06-13T17:47:09+00:00","2014.06.13"
"2014-06-13T07:20-04:00","2014.06.13"
"2014-06-13T11:17:17+00:00","2014.06.13"
"2014-06-13T15:44:25+00:00","2014.06.13"
"2014-06-13T21:49:01+00:00","2014.06.13"
"2014-06-13T23:36:55+00:00","2014.06.13"
"2014-06-13T16:07:40+01:00","2014.06.13"
"2014-06-13","2014.06.13"
"2014-06-13T07:00:47.9100000","2014.06.13"
"2014-06-13T21:41:52+01:00","2014.06.13"
"2014-06-13T07:53:58+00:00","2014.06.13"
"2014-06-13T11:07EDT","2014.06.13"
"2014-06-13T05:00:43+00:00","2014.06.13"
"2014-06-12T20:58:17.1800000","2014.06.12"
"2014-06-12T20:57:47.2600000","2014.06.12"
"06/12/2014 09:16 PM","2014.06.12"
"06/12/2014 05:09 PM","2014.06.12"
"2014-06-12T16:54:41.0000000","2014.06.12"
"2014-06-11T11:15:47+05:30","2014.06.11"
"2014-06-11T11:12:22+05:30","2014.06.11"
"Jun 10, 2014","2014.06.10"
"Thu May 08 20:39:43 PDT 2014","2014.06.08"
"Thu May 08 20:36:15 PDT 2014","2014.06.08"
"2014-06-06T11:53:39+00:00","2014.06.06"
"Jun 6, 2014","2014.06.06"
"2014-06-04T14:42:45+00:00","2014.06.04"
"Jun 4, 2014","2014.06.04"
"2014-06-03T13:21:05+00:00","2014.06.03"
"2014-06-03T09:00:00+00:00","2014.06.03"
"Jun 3, 2014","2014.06.03"
"2014-06-02T04:00:00-04:00","2014.06.02"
"Jun 2, 2014","2014.06.02"
"2014-06-02T23:55:00+00:00","2014.06.02"
"June 2014 ..","2014.06.01"
"2014-05-30","2014.05.30"
20140530151707,"2014.05.30"
20140529,"2014.05.29"
20140529044848,"2014.05.29"
"May 29, 2014","2014.05.29"
"2014-05-29","2014.05.29"
"2014-05-27T16:32:50+00:00","2014.05.27"
"May 27, 2014","2014.05.27"
"2014-05-23T13:51:21+00:00","2014.05.23"
"May 21, 2014","2014.05.21"
"May 20, 2014","2014.05.20"
"May 19, 2014","2014.05.19"
"May 17, 2014","2014.05.17"
"May 16, 2014","2014.05.16"
"2014-05-15T19:08:20+00:00","2014.05.15"
"2014-05-14T12:24:17+00:00","2014.05.14"
"May 13, 2014","2014.05.13"
"May 12, 2014","2014.05.12"
"2014-05-12T07:21:57+00:00","2014.05.12"
"2014-05-12T10:35:08+00:00","2014.05.12"
"May 11, 2014","2014.05.11"
"2014-05-11T00:07:56+00:00","2014.05.11"
"May 10, 2014","2014.05.10"
"2014-05-09T16:31:44+00:00","2014.05.09"
"May 9, 2014","2014.05.09"
"2014-05-09T08:05:42+00:00","2014.05.09"
"2014-05-09T01:17:29Z","2014.05.09"
"May 8, 2014","2014.05.08"
"2014-05-08T16:14:47.2970000","2014.05.08"
"2014-05-08T22:27:46.3770000","2014.05.08"
"2014-05-08T22:23:05Z","2014.05.08"
"May 4, 2014","2014.05.04"
"May 3, 2014","2014.05.03"
"Apr 30, 2014","2014.04.30"
"2014-04-30","2014.04.30"
"Apr 28, 2014","2014.04.28"
"Apr 27, 2014","2014.04.27"
"2014-04-27T21:10:45+00:00","2014.04.27"
"2014/04/27 21:23:35","2014.04.27"
"Apr 25, 2014","2014.04.25"
"2014-04-22T17:45:17-04:00","2014.04.22"
"Apr 22, 2014","2014.04.22"
"2014-04-22","2014.04.22"
"Apr 21, 2014","2014.04.21"
"2014-04-20","2014.04.20"
"2014-04-20T12:58:29Z","2014.04.20"
"Apr 20, 2014","2014.04.20"
"2014-04-19T13:26:25Z","2014.04.19"
"Apr 19, 2014","2014.04.19"
"Apr 18, 2014","2014.04.18"
"Apr 17, 2014","2014.04.17"
"Apr 16, 2014","2014.04.16"
"Apr 15, 2014","2014.04.15"
"2014/04/15 23:41:55","2014.04.15"
"Apr 14, 2014","2014.04.14"
"Apr 13, 2014","2014.04.13"
"Apr 12, 2014","2014.04.12"
"2014-04-10T14:17:47+00:00","2014.04.10"
"Apr 10, 2014","2014.04.10"
"2014-04-10T15:56:21+00:00","2014.04.10"
20140409151815,"2014.04.09"
"2014-04-09","2014.04.09"
"Apr 8, 2014","2014.04.08"
"Apr 4, 2014","2014.04.04"
"2014-04-04T14:34:00+0400","2014.04.04"
"Apr 3, 2014","2014.04.03"
"2014-04-03T12:53:02+00:00","2014.04.03"
"Apr 2, 2014","2014.04.02"
"2014-04-01","2014.04.01"
"Apr 1, 2014","2014.04.01"
"Mar 31, 2014","2014.03.31"
"Mar 30, 2014","2014.03.30"
"Mar 28, 2014","2014.03.28"
"Mar 26, 2014","2014.03.26"
"Mar 23, 2014","2014.03.23"
"Mar 20, 2014","2014.03.20"
"Snapshot, March 20, 2014","2014.03.20"
"Mar 15, 2014","2014.03.15"
"Mar 14, 2014","2014.03.14"
"Mar 11, 2014","2014.03.11"
"Mar 10, 2014","2014.03.10"
"Mar 9, 2014","2014.03.09"
"2014-03-09T00:23:17+00:00","2014.03.09"
"2014-03-07","2014.03.07"
"Mar 7, 2014","2014.03.07"
20140307120004,"2014.03.07"
"Mar 6, 2014","2014.03.06"
"Mar 5, 2014","2014.03.05"
"2014-03-04T15:00:06+00:00","2014.03.04"
"Mar 4, 2014","2014.03.04"
"2014-03-4","2014.03.04"
"Mar 3, 2014","2014.03.03"
"2014-03-02T00:43:57+00:00","2014.03.02"
"2014-03-02T10:46:00+0400","2014.03.02"
"Mar 2, 2014","2014.03.02"
"Mar 1, 2014","2014.03.01"
"2014-03-01T22:57:49+00:00","2014.03.01"
"2014-02-28T05:28:40+00:00","2014.02.28"
20140228111508,"2014.02.28"
"2014-02-28T12:04:26Z","2014.02.28"
"Feb 28, 2014","2014.02.28"
20140228152244,"2014.02.28"
"2014-02-28","2014.02.28"
"2014-02-28T22:30:52+00:00","2014.02.28"
20140228130515,"2014.02.28"
20140228074522,"2014.02.28"
"2014-02-27T10:19:29+00:00","2014.02.27"
20140227063140,"2014.02.27"
"2014-02-27T06:53:52+00:00","2014.02.27"
"2014-02-27T01:14:47Z","2014.02.27"
"2014-02-27T22:07:45+00:00","2014.02.27"
"Feb 27, 2014","2014.02.27"
"Feb. 27, 2014","2014.02.27"
20140227072227,"2014.02.27"
"2014-02-27T14:06:01+00:00","2014.02.27"
"2014-02-27T15:29:39+00:00","2014.02.27"
"2014-02-27T13:13:38+00:00","2014.02.27"
"2014-02-27T15:14:26Z","2014.02.27"
"2014-02-27T13:44:54+00:00","2014.02.27"
"2014-02-27","2014.02.27"
"2014-02-27T13:52:52+00:00","2014.02.27"
"2014-02-27T15:05:33+00:00","2014.02.27"
"2014-02-27T10:23:29+00:00","2014.02.27"
"2014-02-27T13:01:53+00:00","2014.02.27"
20140227032747,"2014.02.27"
"2014-02-27T14:54:22+00:00","2014.02.27"
20140227,"2014.02.27"
20140227085307,"2014.02.27"
"2014-02-27T11:42:01-05:00","2014.02.27"
"2014/02/27 14:23:28","2014.02.27"
"2014-02-26T23:12:23+00:00","2014.02.26"
"Feb 26, 2014","2014.02.26"
20140226093819,"2014.02.26"
"2014-02-26T09:51:47Z","2014.02.26"
"Feb. 26, 2014","2014.02.26"
"2014-02-26T16:59:41+00:00","2014.02.26"
"2014-02-26T13:29EST","2014.02.26"
"2014-02-26","2014.02.26"
20140226,"2014.02.26"
"2014-02-26T23:07:20+00:00","2014.02.26"
"2014-02-25T20:51:45+00:00","2014.02.25"
"2014-02-25T00:35:26+00:00","2014.02.25"
"Feb 25, 2014","2014.02.25"
"2014-02-24T19:01:32+00:00","2014.02.24"
"Feb. 24, 2014","2014.02.24"
"2014-02-24T16:22:00+0400","2014.02.24"
"2014-02-24","2014.02.24"
"Feb 24, 2014","2014.02.24"
20140224,"2014.02.24"
20140224084935,"2014.02.24"
"2014-02-24T16:55:00+0400","2014.02.24"
"2014-02-23T00:08:52+00:00","2014.02.23"
"Feb 23, 2014","2014.02.23"
"Feb 22, 2014","2014.02.22"
"Feb 21, 2014","2014.02.21"
"2014-02-21T06:13:17+00:00","2014.02.21"
"Feb 19, 2014","2014.02.19"
"Feb 18, 2014","2014.02.18"
"Feb 13, 2014","2014.02.13"
"Feb 11, 2014","2014.02.11"
"Feb 7, 2014","2014.02.07"
"Feb 1, 2014","2014.02.01"
"Jan 28, 2014","2014.01.28"
"Jan 23, 2014","2014.01.23"
"Jan 16, 2014","2014.01.16"
"Jan 15, 2014","2014.01.15"
"Jan 2, 2014","2014.01.02"
"Jan 1, 2014","2014.01.01"
"Dec 31, 2013","2013.12.31"
"Dec 30, 2013","2013.12.30"
"Dec 20, 2013","2013.12.20"
"Dec 19, 2013","2013.12.19"
"2013-12-19T22:16:41+00:00","2013.12.19"
"Dec 18, 2013","2013.12.18"
"2013-12-17T17:38:45+00:00","2013.12.17"
20131216030001,"2013.12.16"
"2013-12-15","2013.12.15"
"Dec 14, 2013","2013.12.14"
"2013-12-14T00:56:47+00:00","2013.12.14"
"2013-12-14T16:39:36+00:00","2013.12.14"
"2013-12-14T01:05:41+00:00","2013.12.14"
"Dec 13, 2013","2013.12.13"
"2013-12-13T00:50:16Z","2013.12.13"
"2013-12-13","2013.12.13"
"2013-12-13T00:59:23Z","2013.12.13"
"2013-12-13T08:18:04+00:00","2013.12.13"
"2013-12-13T00:46:25Z","2013.12.13"
"2013-12-13T14:48:46+00:00","2013.12.13"
"2013-12-13T08:15:39+00:00","2013.12.13"
"2013-12-12","2013.12.12"
"2013-12-12T17:56:46Z","2013.12.12"
20131212194712,"2013.12.12"
"2013-12-12T19:50EST","2013.12.12"
"December 12, 2013","2013.12.12"
"Dec 12, 2013","2013.12.12"
20131212,"2013.12.12"
"Dec 11, 2013","2013.12.11"
"Dec 6, 2013","2013.12.06"
"Nov 16, 2013","2013.11.16"
"2013-11-05T10:47:52-04:00","2013.11.05"
"2013-11-04T07:00:00-04:00","2013.11.04"
"Oct 30, 2013","2013.10.30"
"Oct 23, 2013","2013.10.23"
"2013-10-18","2013.10.18"
"2013-10-18T11:55:28","2013.10.18"
"Oct 18, 2013","2013.10.18"
"Oct 14, 2013","2013.10.14"
"Oct 11, 2013","2013.10.11"
"2013-10-11","2013.10.11"
"2013-10-11T18:00:27+00:00","2013.10.11"
"Oct 7, 2013","2013.10.07"
"2013-10-03T13:14:33+00:00","2013.10.03"
"Oct 3, 2013","2013.10.03"
"2013-09-30T07:00-04:00","2013.09.30"
"Sep 30, 2013","2013.09.30"
"Sep 29, 2013","2013.09.29"
"2013-09-27T16:45:16+00:00","2013.09.27"
"Sep 27, 2013","2013.09.27"
"Sep 25, 2013","2013.09.25"
"Sep 24, 2013","2013.09.24"
"Sep 23, 2013","2013.09.23"
"Sep 20, 2013","2013.09.20"
"Sep 18, 2013","2013.09.18"
